""""sw"""",""""ar"""",""""bg"""",""""ca"""",""""cs"""",""""da"""",""""de"""",""""el"""",""""en"""",""""en-GB"""",""""es-419"""",""""es"""",""""fi"""",""""fil"""",""""fr"""",""""hi"""",""""hr"""",""""hu"""",""""id"""",""""it"""",""""iw"""",""""ja"""",""""ko"""",""""lt"""",""""lv"""",""""nl"""",""""no"""",""""pl"""",""""pt-BR"""",""""pt-PT"""",""""ro"""",""""ru"""",""""sk"""",""""sl"""",""""sr"""",""""sv"""",""""th"""",""""tr"""",""""uk"""",""""vi"""",""""zh-CN"""",""""zh-TW"""",""""fa"""",""""pos"""",""""description"""",""""notes""""
"","زخرفة","текстуриране","texturització","texturování","struktur","Texturierung","εφαρμογή υφής","texturing","texturing","texturado","textura","pintakuviointi","texturing","application d'une texture","संरचना करना","umetanje fotografija","mintázat","pembubuhan tekstur (NOUN","applicazione di una texture","עיצוב מרקם","テクスチャ","텍스처링","tekstūros kūrimas","tekstūras izveide","texturering","teksturering","teksturowanie","texturização","texturização","aplicare a texturii","создание текстуры","textúrovanie","teksturiranje","додавање текстура","struktur","สร้างพื้นผิว","doku oluşturma","накладання текстури","thêm hoạ tiết","纹理化","紋理化","","noun","Photo texturing allows you to apply photographs onto your model. This will improve your model, and make it realistic.",""
"unayewasiliana naye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Noun. Contact person in your friend circle; more general term than friend.",""
"Mipasho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","The place where you see a real-time flow/feed of the content your circles are sharing with you and where can share information with specific circles of yours",""
"","قالب عمودي حر الشكل","вертикално променливо блокче","bloc de forma lliure vertical","","lodret klods i frit format","vertikaler Freiformblock","κάθετο μπλοκ ελεύθερης μορφής","vertical freeform block","","bloque vertical de forma libre","bloque vertical de forma libre","","vertical na freeform block","forme verticale libre","अनुलंब मुक्त अवस्था ब्लॉक","okomiti blok nepravilnog oblika","függőleges szabad formájú tömb","blok bentuk bebas vertikal","blocco modellabile verticale","בלוק חופשי אנכי","","수직 자유형 블록","vertikalus laisvos formos blokas","vertikāls brīvas formas bloks","","vertikal friformsblokk","dowolna bryła w układzie pionowym","bloco livre vertical","forma livre vertical","poliedru vertical cu formă liberă","","vertikálny univerzálny blok","navpični gradnik nepravilne oblike","вертикалан блок прилагодљивог облика","lodrätt friformsblock","บล็อกทรงอิสระแนวตั้ง","serbest biçimli dikey blok","вертикальний блок довільної форми","khối tạo hình tự do theo chiều dọc","垂直不规则砌块","","","noun","A vertical block allowing you to create free-form shapes by adding additional points",""
"","صورة رأسية","ортогонално изображение","imatge ortogonal","kolmý snímek","vinkelret billede","rechtwinkliges Bild","ορθογώνια εικόνα","orthogonal image","orthogonal image","imagen ortogonal","imagen ortogonal","perspektiivikuva","iskuwaladong (orthogonal) larawan","image orthogonale","लंबवत छवि","ortogonalna slika","merőleges kép","citra ortogonal","immagine ortogonale","תמונה אורתוגונלית","真上からの画像","직교 이미지","stačiakampis vaizdas","taisnstūra attēls","afbeelding uit rechte hoek","vinkelrett bilde","zdjęcie prostopadłe","imagem ortogonal","imagem ortogonal","imagine ortogonală","ортогональное изображение","kolmá snímka","ortogonalna slika","ортогонална слика","vinkelrät bild","ภาพถ่ายในแนวตั้งฉาก","dikey resim","ортогональне зображення","hình ảnh trực giao","正交图像","直角圖像","","noun","[BM] An image taken from a top down or parallel angle.",""
"Android Beam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Feature for sending (beaming) app content from one NFC-capable device to another by holding the devices close together, typically back to back. For example, users can beam web pages, YouTube videos, contacts, and more by bringing the devices together and then touching the screen. The app determines what is beamed.",""
"","صورة جوية","въздушно изображение","imatge aèria","letecký snímek","luftfoto","Luftbild","αεροφωτογραφία","aerial image","aerial image","imagen aérea","imagen aérea","ilmakuva","panghimpapawid na larawan","image aérienne","आकाशीय छवि","slika iz ptičje perspektive","légi felvétel","foto udara","immagine aerea","צילום אווירי","鳥瞰写真","항공 사진","vaizdas iš lėktuvo","aerofotoattēls","luchtfoto","flyfoto","zdjęcie lotnicze","imagens aéreas","imagem aérea","imagine aeriană","изображение с воздуха","letecká snímka","slika iz zraka","слика из ваздуха","flygfoto","ภาพถ่ายทางอากาศ","havadan görüntü","зображення з повітря","ảnh chụp từ trên cao","航拍图","空照圖","","noun","[BM] Images (photos) taken from a plane.",""
"","هرم مسطح القمة","пирамида с плосък връх","piràmide plana","seříznutá pyramida","pyramide med flad top","Pyramidenstumpf","πυραμίδα με επίπεδη κορυφή","flat top pyramid","flat-top pyramid","pirámide truncada","pirámide plana","tasakärkinen pyramidi","flat top na pyramid","pyramide tronquée","समतल शीर्ष पिरामिड","krnja piramida","csonkagúla","piramida terpancung","tronco di piramide","פירמידה קטומה","フラットトップ ピラミッド","사각뿔대","piramidė su nukirsta viršūne","nošķelta piramīda","pyramide met afgevlakte punt","pyramide med flat topp","ścięta piramida","pirâmide truncada","pirâmide truncada","trunchi de piramidă","пирамида с плоской вершиной","zrezaná pyramída","piramida s ploščatim vrhom","пирамида са равним врхом","pyramid med platt topp","พีระมิดยอดตัด","kesik piramit","піраміда з пласкою вершиною","hình chóp cụt","四棱台","平頂錐體","","noun","[BM] Truncated pyramid (pyramid with the top cut off)",""
"","","","","","","","","","","","","esteettömyys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","",""
"","collada","collada","collada","collada","collada","COLLADA","collada","collada","collada","collada","collada","collada","collada","COLLADA","कोलाडा","collada","collada","collada","Collada","collada","Collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","collada","","noun","An open standard XML format for exchange of 3D data.",""
"","قائمة السياق","контекстно меню","menú contextual","kontextová nabídka","genvejsmenu","Kontextmenü","μενού περιβάλλοντος","context menu","context menu","menú contextual","menú contextual","kontekstivalikko","menu ng konteksto","menu contextuel","प्रसंग मेनू","objektni izbornik","helyi menü","menu konteks","menu di scelta rapida","תפריט הקשר","コンテキスト メニュー","컨텍스트 메뉴","kontekstinis meniu","kontekstizvēlne","contextmenu","hurtigmeny","menu kontekstowe","menu contextual","menu de contexto","meniu contextual","контекстное меню","kontextová ponuka","kontekstni meni","контекстуални мени","snabbmeny","เมนูบริบท","bağlam menüsü","контекстне меню","trình đơn ngữ cảnh","上下文菜单","內容選單","","noun","[BM] A menu of items or commands available in a particular context, such as when a line or block is selected.",""
"","تحت الإنشاء","в процес на разработка","en desenvolupament","ve výstavbě","under opførelse","in Entwicklung","υπό κατασκευή","in development","in development","en desarrollo","en desarrollo","työn alla","kasalukuyang binubuo","en cours de développement","विकास में","u izgradnji","fejlesztés alatt","dalam pembangunan","in costruzione","בפיתוח","開発","개발 중인","vystoma","tiek izstrādāts","in ontwikkeling","under utvikling","projektowane","em construção","em desenvolvimento","în construcţie/dezvoltare","в разработке","vo vývoji","v razvoju","у развоју","under konstruktion","กำลังพัฒนา","yapım aşamasında","у процесі розробки","đang phát triển","开发中","開發中","","noun","Something which is being built, like cities/universities in development.",""
"","زخرفة","текстура","textura","textura","struktur","Textur","υφή","texture","texture","textura","textura","pintakuviointi","texture","texture","संरचना","tekstura","mintázat","tekstur","texture","מרקם","テクスチャ","텍스처","tekstūra","tekstūra","textuur","tekstur","tekstura","textura","textura","textură","текстура","textúra","tekstura","текстура","struktur","พื้นผิว","doku","текстура","hoạ tiết","纹理","紋理","","noun","bitmap image applied to a surface in computer graphics",""
"","مبنى","сграда","edifici","budova","bygning","Gebäude","κτίριο","building","building","edificio","edificio","rakennus","gusali","bâtiment","भवन","zgrada","épület","bangunan","edificio","מבנה","建物","건물","pastatas","ēka","gebouw","bygning","budynek","construção","edifício","clădire","строение","budova","zgradba","зграда","byggnad","สิ่งปลูกสร้าง","yapı","будівля","toà nhà","建筑物","建築物","","noun","[BM] A collection of blocks. This is how we define a building in the application. If a user has create more than one block we refer to the creation as a building. So if they are asked to save their work we ask them to save the building. Think of building as the type of model which can be created with Building Maker.",""
"","راجع، مراجعة","отзив","revisió","recenze","gennemse","Bewertung","επισκόπηση","review","review","revisión","revisión","arvostelu","review","avis","समीक्षा करें","recenzija","vélemény","ulasan","recensione","ביקורת","レビュー","평가의견","peržiūra","pārskats","bespreking","gjennomgå","opinia","revisão","revisão","recenzie","отзыв","posudok","mnenje","преглед","granska","ตรวจสอบ","inceleme/incelemek","перегляд","đánh giá","评价","評論","","noun","Users can review existing ratings for a model or collection",""
"","مكعب","кутийка","cub","kvádr","kasse","Kasten","κουτί","box","box","cubo","cubo","laatikko","kahon","cube","बॉक्स","pravokutnik","doboz","balok","parallelepipedo","תיבה","ボックス","직각 상자","dėžutė","taisnstūra paralēlskaldnis","vak","kube","prostopadłościan","caixa","paralelepípedo","paralelipiped","каркас","kváder","okvir","кутија","box","กล่อง","kutu","каркас","hộp","方块","方塊","","noun","[BM] name given to the rectangular prism tool.",""
"","هرم","пирамида","piràmide","pyramida","pyramide","Pyramide","πυραμίδα","pyramid","pyramid","pirámide","pirámide","pyramidi","pyramid","pyramide","पिरामिड","piramida","gúla","piramida","piramide","פירמידה","ピラミッド","사각뿔","piramidė","piramīda","pyramide","pyramide","piramida","pirâmide","pirâmide","piramidă","пирамида","pyramída","piramida","пирамида","pyramid","พีระมิด","piramit","піраміда","hình chóp","四棱锥","錐體","","noun","[BM] A rectangular based block where all sides are triangles and meet in a point",""
"Zana ya Kutafsiri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Translator Toolkit is the short form of Google Translator Toolkit. Google Translator Toolkit is a powerful and easy-to-use CAT tool designed to help translators edit the translations that Google Translate automatically generates.",""
